EXPOCODE,Cruise_ID,Observation_Type,Sample _ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,YearDay_UTC,Latitude_Dec_Deg,Longitude_Dec_Deg,Depth_Bottom_meters,Depth_meters,CTDPRES_dbar,FlowThrough-Intake_Temperature_deg_C,TSGTEMP_deg_C,CTDTEMP_ITS90,TSGSAL_PSS78,CTDSAL_PSS78,Salinity_PSS78,Salinity_Flag,CTDOXY_mg/L,CTDOXY_umol/kg,DIC_umol/kg,DIC_Flag,TA_umol/kg,TA_Flag,pH_TS_20C,pH_TS_25C,pH_Flag,Silicate_umol/kg,Nitrite_and_Nitrate_umol/kg,Ammonium_umol/kg,Phosphate_umol/kg,Nutrients_Flag
46SL20181115,Selfoss846,Flow-through,10000,1,0,0,2018,11,15,15:56:00,319.6639,63.799,-23.914,-999,7,-999,-999,8.67,-999,34.926,-999,-999,9,-999,-999,2128.3,2,2290.1,2,7.8408,7.7684,2,5.75,12.49,-999,0.876,2
46SL20181115,Selfoss846,Flow-through,20000,2,0,0,2018,11,15,21:11:00,319.8826,62.954,-26.521,-999,7,-999,-999,9.48,-999,34.997,-999,-999,9,-999,-999,2125.2,2,2289.8,2,7.8454,7.7729,2,4.33,11.42,-999,0.803,2
46SL20181115,Selfoss846,Flow-through,30000,3,0,0,2018,11,16,0:56:00,320.0389,62.3804,-28.2913,-999,7,-999,-999,10.1,-999,34.997,-999,-999,9,-999,-999,2127.2,2,2297.3,3,7.8581,7.7853,2,4.7,12.38,-999,0.83,2
46SL20181115,Selfoss846,Flow-through,40000,4,0,0,2018,11,16,4:43:00,320.1965,61.8142,-30.063,-999,7,-999,-999,10.5,-999,34.832,-999,-999,9,-999,-999,2133.2,2,2292.6,2,7.8355,7.7631,2,4.95,13.06,-999,0.869,2
46SL20181115,Selfoss846,Flow-through,50000,5,0,0,2018,11,16,9:33:00,320.3979,61.0616,-32.2669,-999,7,-999,-999,14.6,-999,34.765,-999,-999,9,-999,-999,2126.9,2,2283.6,2,7.8316,7.7593,2,4.92,13.06,-999,0.88,2
46SL20181115,Selfoss846,Flow-through,60000,6,0,0,2018,11,16,13:48:00,320.575,60.4492,-34.092,-999,7,-999,-999,12.7,-999,34.825,-999,-999,9,-999,-999,2132.7,2,2285.8,2,7.8218,7.7497,2,5.43,13.74,-999,0.917,2
46SL20181115,Selfoss846,Flow-through,70000,7,0,0,2018,11,16,17:57:00,320.7479,59.8817,-35.0297,-999,7,-999,-999,9.6,-999,34.727,-999,-999,9,-999,-999,2131.2,2,2286.8,2,7.8277,7.7555,2,4.66,13.1,-999,0.879,2
46SL20181115,Selfoss846,Flow-through,80000,8,0,0,2018,11,16,21:10:00,320.8819,59.3517,-35.7126,-999,7,-999,-999,-999,-999,34.751,-999,-999,9,-999,-999,2132.4,2,2287.2,2,7.825,7.7528,2,5.17,13.45,-999,0.905,2
46SL20181115,Selfoss846,Flow-through,90000,9,0,0,2018,11,17,0:28:00,321.0194,58.8667,-36.7831,-999,7,-999,-999,7.2,-999,34.759,-999,-999,9,-999,-999,2136,2,2286.2,2,7.8196,7.7475,2,5.09,13.48,-999,0.905,2
46SL20181115,Selfoss846,Flow-through,100000,10,0,0,2018,11,17,6:38:00,321.2764,57.8634,-38.7419,-999,7,-999,-999,6,-999,34.735,-999,-999,9,-999,-999,2130.3,2,2283.8,2,7.8245,7.7523,2,4.57,12.88,-999,0.877,2
46SL20181115,Selfoss846,Flow-through,110000,11,0,0,2018,11,17,10:22:00,321.4319,57.2437,-39.5951,-999,7,-999,-999,3.4,-999,34.714,-999,-999,9,-999,-999,2133,2,2285.4,2,7.8211,7.749,2,4.27,12.78,-999,0.875,2
46SL20181115,Selfoss846,Flow-through,120000,12,0,0,2018,11,17,15:03:00,321.6271,56.4304,-40.4605,-999,7,-999,-999,3.3,-999,34.776,-999,-999,9,-999,-999,2131.5,2,2281.4,2,7.8191,7.747,2,4.07,12.73,-999,0.872,2
46SL20181115,Selfoss846,Flow-through,130000,13,0,0,2018,11,17,19:14:00,321.8014,55.6854,-41.2921,-999,7,-999,-999,3.9,-999,34.649,-999,-999,9,-999,-999,2128.3,2,2279.6,2,7.8189,7.7468,2,3.8,12.24,-999,0.846,2
46SL20181115,Selfoss846,Flow-through,140000,14,0,0,2018,11,17,23:09:00,321.9646,54.9237,-42.2646,-999,7,-999,-999,4.5,-999,34.65,-999,-999,9,-999,-999,2116.9,2,2272.1,3,7.8288,7.7566,2,3.58,11.47,-999,0.814,2
46SL20181115,Selfoss846,Flow-through,150000,15,0,0,2018,11,18,2:38:00,322.1097,54.2125,-43.1945,-999,7,-999,-999,5.6,-999,34.645,-999,-999,9,-999,-999,2130.2,2,2281.2,2,7.8204,7.7483,2,4.35,11.32,-999,0.804,2
46SL20181115,Selfoss846,Flow-through,160000,16,0,0,2018,11,18,10:03:00,322.4188,52.6565,-45.2979,-999,7,-999,-999,5.1,-999,34.456,-999,-999,9,-999,-999,2115.1,2,2273.8,2,7.8411,7.7687,2,3.57,8.65,-999,0.684,2
46SL20181115,Selfoss846,Flow-through,170000,17,0,0,2018,11,18,15:22:00,322.6403,51.5673,-46.7238,-999,7,-999,-999,3.9,-999,34.294,-999,-999,9,-999,-999,2085.5,2,2270,3,7.9006,7.8273,2,2.14,4.37,-999,0.442,2
46SL20181115,Selfoss846,Flow-through,180000,18,0,0,2018,11,18,18:18:00,322.7625,51.0318,-47.4189,-999,7,-999,-999,5.4,-999,34.266,-999,-999,9,-999,-999,2089,2,2267.8,3,7.888,7.8149,2,2.74,5.45,-999,0.507,2
46SL20181115,Selfoss846,Flow-through,190000,19,0,0,2018,11,18,21:43:00,322.9049,50.4203,-48.1456,-999,7,-999,-999,3,-999,34.075,-999,-999,9,-999,-999,2091.6,2,2257.1,2,7.8633,7.7905,2,2.29,4.97,-999,0.5,2
46SL20181115,Selfoss846,Flow-through,200000,20,0,0,2018,11,18,21:43:00,322.9049,50.4203,-48.1456,-999,7,-999,-999,3,-999,34.079,-999,-999,9,-999,-999,2092.1,2,2259,2,7.8634,7.7907,2,2.53,4.93,-999,0.499,2
46SL20181115,Selfoss846,Flow-through,210000,21,0,0,2018,11,19,1:14:00,323.0514,49.7125,-48.636,-999,7,-999,-999,1.8,-999,34.108,-999,-999,9,-999,-999,2111.2,2,2257.9,2,7.8169,7.7449,2,3.46,8.22,-999,0.667,2
46SL20181115,Selfoss846,Flow-through,220000,22,0,0,2018,11,19,4:40:00,323.1944,49.0959,-49.2046,-999,7,-999,-999,0.6,-999,34.021,-999,-999,9,-999,-999,2108,2,2254,2,7.8157,7.7438,2,3.66,7.86,-999,0.659,2
46SL20181115,Selfoss846,Flow-through,230000,23,0,0,2018,11,19,11:53:00,323.4951,47.806,-50.4666,-999,7,-999,-999,0,-999,32.378,-999,-999,9,-999,-999,2071.3,2,2187.7,2,7.7664,7.6957,2,4.32,3.97,-999,0.671,2
46SL20181115,Selfoss846,Flow-through,240000,24,0,0,2018,11,19,16:16:00,323.6778,47.2042,-51.2972,-999,7,-999,-999,1.8,-999,31.888,-999,-999,9,-999,-999,2043,2,2163.4,2,7.7845,7.7135,2,3.41,2.07,-999,0.587,2
46SL20181115,Selfoss846,Flow-through,250000,25,0,0,2018,11,19,19:38:00,323.8181,46.8265,-52.0379,-999,7,-999,-999,3.8,-999,32.026,-999,-999,9,-999,-999,2060.6,2,2176,2,7.7695,7.6987,2,3.76,2.98,-999,0.647,2
46SL20181115,Selfoss846,Flow-through,260000,26,0,0,2018,11,19,23:18:00,323.9708,46.5359,-52.9145,-999,7,-999,-999,6,-999,31.626,-999,-999,9,-999,-999,2029.3,2,2151.6,2,7.7929,7.7217,2,3.02,1.81,-999,0.573,2
46SL20181115,Selfoss846,Flow-through,270000,27,0,0,2018,11,20,3:22:00,324.1403,46.5376,-53.9841,-999,7,-999,-999,7.1,-999,31.674,-999,-999,9,-999,-999,2035.1,2,2160.8,2,7.7997,7.7284,2,2.96,2.01,-999,0.585,2
46SL20181115,Selfoss846,Flow-through,280000,28,0,0,2018,11,21,0:20:00,325.0139,46.6591,-55.3311,-999,7,-999,-999,10.2,-999,31.904,-999,-999,9,-999,-999,2026.8,2,2151.8,2,7.7976,7.7263,2,2.77,2.14,-999,0.601,2
46SL20181115,Selfoss846,Flow-through,290000,29,0,0,2018,11,21,4:05:00,325.1701,46.3557,-56.4271,-999,7,-999,-999,9.9,-999,31.839,-999,-999,9,-999,-999,2050.4,2,2165.6,2,7.7698,7.6991,2,3.14,2.94,-999,0.617,2
46SL20181115,Selfoss846,Flow-through,300000,30,0,0,2018,11,21,4:05:00,325.1701,46.3557,-56.4271,-999,7,-999,-999,9.9,-999,31.844,-999,-999,9,-999,-999,2043.6,2,2158.4,2,7.7712,7.7004,2,4.39,3.02,-999,0.642,2
46SL20181115,Selfoss846,Flow-through,310000,31,0,0,2018,11,21,11:52:00,325.4944,45.8036,-58.3336,-999,7,-999,-999,11.3,-999,31.532,-999,-999,9,-999,-999,2023.5,2,2149.4,2,7.8032,7.7318,2,2.4,1.54,-999,0.489,2
46SL20181115,Selfoss846,Flow-through,320000,32,0,0,2018,11,21,14:32:00,325.6056,45.5796,-59.1471,-999,7,-999,-999,7.6,-999,30.765,-999,-999,9,-999,-999,2011.2,2,2109.7,3,7.7422,7.6722,2,4.72,3.31,-999,0.647,2
46SL20181115,Selfoss846,Flow-through,330000,33,0,0,2018,11,21,17:03:00,325.7104,45.3392,-59.9021,-999,7,-999,-999,6.7,-999,31.126,-999,-999,9,-999,-999,2014,2,2124.3,2,7.7694,7.6987,2,3.37,2.81,-999,0.55,2
46SL20181115,Selfoss846,Flow-through,340000,34,0,0,2018,11,21,18:04:00,325.7528,45.2415,-60.219,-999,7,-999,-999,6,-999,30.768,-999,-999,9,-999,-999,2019,2,2127.6,2,7.7711,7.7004,2,3.75,2.7,-999,0.567,2
46SL20181115,Selfoss846,Flow-through,350000,35,0,0,2018,11,21,19:42:00,325.8208,45.1051,-60.6771,-999,7,-999,-999,5.7,-999,30.845,-999,-999,9,-999,-999,2025.2,2,2125.1,2,7.746,7.6759,2,5.14,3.33,-999,0.652,2
