"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","bathymetry","resolution","tight","nBox","nTight","line_id","line_name","alt_station_id"
"33RO20090819","RB09-05","Flow-through","250000","25",0,0,2009,8,20,"1:46:55",232.0743,24.275,-82.8763,-999,5,"-999",-999,30.05,-999,36.039,-999,-999,9,-999,-999,2026.1,2,-999,9,-999,-999,9,-999,-999,-999,-999,9,-82.8763,24.275,478.413909912109,2752,"yes","no","no",NA,NA,NA
"33RO20090819","RB09-05","Flow-through","300000","30",0,0,2009,8,20,"10:52:55",232.4534,25.4454,-84.131,-999,5,"-999",-999,29.4,-999,35.703,-999,-999,9,-999,-999,2018.6,2,-999,9,-999,-999,9,-999,-999,-999,-999,9,-84.131,25.4454,150.855773925781,9917,"no","yes","no","MI","Marco Island",NA
"33WA20111020","WS1116","Niskin","2150106","21.5",1,6,2011,10,21,"13:00:11",294.5418,24.4662,-81.392,-999,3.7,"-999",27.5,27.87,27.56,35.451,35.473,-999,9,-999,-999,2006.3,2,2350.2,2,-999,-999,9,-999,-999,-999,-999,9,-81.392,24.4662,167.361740112305,1911,"yes","no","no","LK","Looe Key",NA
"33WA20111020","WS1116","Niskin","240104","24",1,4,2011,10,21,"17:06:30",294.7128,24.5357,-81.8322,-999,1,"-999",24.65,24.93,24.48,32.648,32.445,-999,9,-999,-999,1994.8,2,2199.6,2,-999,-999,9,-999,-999,-999,-999,9,-81.8322,24.5357,8.37011241912842,224,"yes","no","no","KWS","Key West South",NA
"33WA20111020","WS1116","Flow-through","2250000","22.5",0,0,2011,10,21,"20:25:10",294.8508,24.5445,-81.7944,-999,1.5,"-999",27.41,27.76,27.4,35.25,35.274,-999,9,-999,-999,2012.5,2,2359.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.7944,24.5445,2,117,"yes","yes","yes","KWS","Key West South",NA
"33WA20111020","WS1116","Niskin","2250105","22.5",1,5,2011,10,21,"20:25:10",294.8508,24.5445,-81.7944,-999,1.3,"-999",27.41,27.76,27.4,35.252,35.274,-999,9,-999,-999,2011.5,2,2358.4,2,-999,-999,9,-999,-999,-999,-999,9,-81.7944,24.5445,2,117,"yes","yes","yes","KWS","Key West South",NA
"33WA20111020","WS1116","Niskin","2550105","25.5",1,5,2011,10,22,"5:29:01",295.2285,24.1198,-82.7664,-999,1.6,"-999",27.36,27.74,27.37,35.396,35.399,-999,9,-999,-999,2021.3,2,2369.7,2,-999,-999,9,-999,-999,-999,-999,9,-82.7664,24.1198,731.009582519531,7167,"yes","no","no",NA,NA,NA
"33WA20111020","WS1116","Flow-through","740000","74",0,0,2011,10,22,"9:50:53",295.4103,24.5203,-82.9535,-999,1.5,"-999",26.72,27.2,26.68,34.805,34.763,-999,9,-999,-999,2033.7,2,2349.3,2,-999,-999,9,-999,-999,-999,-999,9,-82.9535,24.5203,23.6699924468994,878,"yes","no","no",NA,NA,NA
"33WA20111020","WS1116","Flow-through","280000","28",0,0,2011,10,22,"12:36:28",295.5253,24.7199,-82.7479,-999,1.5,"-999",27.26,27.61,27.24,34.874,34.874,-999,9,-999,-999,2022.2,2,2357.4,2,-999,-999,9,-999,-999,-999,-999,9,-82.7479,24.7199,28.8760852813721,675,"yes","yes","yes",NA,NA,NA
"33WA20111020","WS1116","Niskin","300103","30",1,3,2011,10,22,"19:51:00",295.8271,25.3998,-82.2103,-999,2,"-999",26.71,27.09,26.71,36.179,36.177,-999,9,-999,-999,2028.5,2,2365.3,2,-999,-999,9,-999,-999,-999,-999,9,-82.2103,25.3998,25.1684474945068,7019,"no","yes","no","MI","Marco Island",NA
