"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","X.1","Y.1","bathymetry","resolution","line_id","line_name","alt_station_id"
"33WA20111020","WS1116","Flow-through","540000","54",0,0,2011,10,23,"12:17:10",296.5119,25.3432,-81.1561,-999,1.5,"-999",22.97,23.33,22.98,24.907,25.033,-999,9,-999,-999,3014.6,2,3175.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.1561,25.3432,-81.1561,25.3432,2.24022269248962,945,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","540101","54",1,1,2011,10,23,"12:17:10",296.5119,25.3432,-81.1561,-999,1.2,"-999",22.97,23.34,22.98,24.915,25.033,-999,9,-999,-999,2987.9,2,3202.4,2,-999,-999,9,-999,-999,-999,-999,9,-81.1561,25.3432,-81.1561,25.3432,2.24022269248962,945,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","560101","56",1,1,2011,10,23,"13:34:00",296.5653,25.349,-81.2272,-999,1.5,"-999",23.07,23.44,23.06,32.495,32.489,-999,9,-999,-999,2278.7,2,2657.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.2272,25.349,-81.2272,25.349,3.02198529243469,2337,"SR","Shark River",NA
"33WA20111020","WS1116","Niskin","580103","58",1,3,2011,10,23,"17:31:28",296.7302,25.1654,-81.4881,-999,1.8,"-999",25.61,26,25.63,36.381,36.395,-999,9,-999,-999,2008.9,6,2339.4,6,-999,-999,9,-999,-999,-999,-999,9,-81.4881,25.1654,-81.4881,25.1654,8.8177604675293,3690,"MC","Middle Cape",NA
"33WA20111211","WS1118","Niskin","540101","54",1,1,2011,12,14,"12:45:00",348.5313,25.3407,-81.1564,-999,1.3,"-999",22.01,22.97,22.67,29.189,29.103,-999,9,-999,-999,2878.9,6,3091.1,6,-999,-999,9,-999,-999,-999,-999,9,-81.1564,25.3407,-81.1564,25.3407,2.24022269248962,945,"SR","Shark River",NA
"33WA20111211","WS1118","Flow-through","570000","57",0,0,2011,12,14,"14:30:00",348.6042,25.3478,-81.2718,-999,1.5,"-999",21.58,22.57,22.58,33.446,33.439,-999,9,-999,-999,2269.6,2,2528.1,2,-999,-999,9,-999,-999,-999,-999,9,-81.2718,25.3478,-81.2718,25.3478,3.75466084480286,2255,"SR","Shark River",NA
"33WA20111211","WS1118","Niskin","600101","60",1,1,2011,12,14,"22:40:00",348.9444,25.165,-81.3389,-999,1.1,"-999",22,23,22.71,34.12,34.144,-999,9,-999,-999,2277.7,2,2536.8,2,-999,-999,9,-999,-999,-999,-999,9,-81.3389,25.165,-81.3389,25.165,6.1338005065918,3254,"MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:23:00",349.016,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.513,30.501,-999,9,-999,-999,2877.7,2,3113.7,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,-81.1574,25.1669,2.99322700500488,452,"MC","Middle Cape",NA
"33WA20111211","WS1118","Flow-through","640000","64",0,0,2011,12,15,"0:24:00",349.0167,25.1669,-81.1574,-999,1.5,"-999",22.24,23.23,23.23,30.502,30.501,-999,9,-999,-999,2869.2,2,3168.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.1574,25.1669,-81.1574,25.1669,2.99322700500488,452,"MC","Middle Cape",NA
"33WA20141201","WS1418","Niskin","540101","54",1,1,2014,12,3,"14:46:00",337.6153,25.3451,-81.1521,-999,1.5,"1.5",20.77,21.02,20.6,31.082,31.159,-999,9,-999,222.6,2596.7,2,2853.1,2,7.9169,7.8432,2,31.8,0.4,-999,0,2,-81.1521,25.3451,-81.1521,25.3451,2.5547730922699,795,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","550101","55",1,1,2014,12,3,"15:47:00",337.6576,25.35,-81.1936,-999,1.5,"1.5",20.65,20.97,20.63,33.619,33.597,-999,9,-999,-999,2320,2,2602,2,7.8939,7.8205,2,26.6,0.2,-999,0,2,-81.1936,25.35,-81.1936,25.35,2.37362217903137,1572,"SR","Shark River",NA
"33WA20141201","WS1418","Niskin","560101","56",1,1,2014,12,3,"16:22:00",337.6819,25.3498,-81.2289,-999,1.5,"1.5",20.99,21.31,20.75,34.253,34.279,-999,9,-999,-999,2252.1,2,2542.1,2,7.847,7.7743,2,24.8,0.09,-999,0,2,-81.2289,25.3498,-81.2289,25.3498,3.02198529243469,2337,"SR","Shark River",NA
