Record,Longitude,Latitude,Station,Depth,Date,GMT,SST,SSS,Chla,Phaeophytin ,NH4,PO4,NO3+NO2,NO2,NO3,Si
1,-80.1267,25.6433,1,0,1/29/98,13:12,21.3,35.5,1.005,0.543,,,,,,
2,-80.105,25.6433,2,0,1/29/98,13:33,22.1,35.9,0.556,0.417,,,,,,
3,-80.0833,25.6383,3,0,1/29/98,14:15,22.6,36,0.695,0.5,,,,,,
4,-80.38,25.1083,4,0,1/29/98,14:15,20.1,35.2,0.427,0.178,,,,,,
5,-80.3533,25.0933,5,0,1/29/98,14:45,23,36.1,0.665,0.282,,,,,,
6,-80.315,25.0633,6,0,1/29/98,15:19,23,36.1,0.267,0.124,,,,,,
7,-80.7567,24.82,7,0,1/30/98,11:30,18.9,32.9,0.373,0.259,,,,,,
8,-80.745,24.8,8,0,1/30/98,12:07,20.6,35.3,0.614,0.238,,,,,,
9,-80.7233,24.7633,9,0,1/30/98,12:43,22.7,36.1,0.335,0.242,,,,,,
10,-80.8617,24.7883,10,0,1/30/98,13:53,18.5,32.8,0.401,0.354,,,,,,
11,-80.8467,24.7517,11,0,1/30/98,14:27,20.5,34.1,0.679,0.34,,,,,,
12,-80.8333,24.7117,12,0,1/30/98,15:05,22,35.6,0.594,0.309,,,,,,
13,-81.0183,24.6417,15,0,1/30/98,17:25,22.2,35.8,0.43,0.113,,,,,,
14,-81.0233,24.675,14,0,1/30/98,17:51,20.8,35,0.77,0.365,,,,,,
15,-81.0317,24.7017,13,0,1/30/98,18:26,20.3,34.7,0.555,0.299,,,,,,
16,-81.205,24.675,16,0,1/30/98,18:45,20.2,35,0.609,0.216,,,,,,
17,-81.1933,24.6367,17,0,1/30/98,19:20,21.4,34.7,0.598,0.277,,,,,,
18,-81.1833,24.5967,18,0,1/30/98,19:53,22.5,35.8,0.226,0.189,,,,,,
19,-81.4233,24.6083,19,0,1/31/98,13:58,20.4,35.7,0.354,0.127,,,,,,
20,-81.4183,24.575,20,0,1/31/98,14:30,21,35.5,0.692,0.312,,,,,,
21,-81.415,24.5367,21,0,1/31/98,15:03,22.2,35.9,0.875,0.527,,,,,,
22,-81.83,24.455,22,0,1/31/98,19:15,23.9,36.1,0.473,0.253,,,,,,
23,-81.83,24.4867,23,0,1/31/98,19:53,22.3,36.1,0.625,0.364,,,,,,
24,-81.83,24.535,24,0,1/31/98,20:24,20.7,36.1,1.122,0.521,,,,,,
104,-81.8283,24.455,22,0,4/7/98,16:40,25.3,36.253,0.288,0.118,,,,,,
105,-81.827,24.4883,23,0,4/7/98,17:39,25.4,36.253,,,,,,,,
106,-81.8267,24.5367,24,0,4/7/98,18:06,25.7,36.253,0.592,0.25,,,,,,
107,-81.415,24.5367,21,0,4/8/98,15:10,24.9,36.253,,,,,,,,
108,-81.4183,24.5733,20,0,4/8/98,15:58,25.6,36.179,,,,,,,,
109,-81.4217,24.6083,19,0,4/8/98,17:20,26.3,35.953,,,,,,,,
110,-81.1833,24.5933,18,0,4/8/98,18:11,25,36.353,0.224,0.109,,,,,,
111,-81.195,24.635,17,0,4/8/98,18:59,25.8,36.253,,,,,,,,
112,-81.2017,24.6733,16,0,4/8/98,19:23,26.5,36.253,0.32,0.127,,,,,,
113,-81.015,24.6417,15,0,4/8/98,20:53,25.2,36.353,,,,,,,,
114,-81.0233,24.675,14,0,4/8/98,21:29,25.5,36.353,,,,,,,,
115,-81.03,24.7017,13,0,4/8/98,21:48,26.6,36.253,,,,,,,,
116,-80.8617,24.785,10,0,4/9/98,12:34,26.1,36.453,0.858,0.623,,,,,,
117,-80.8467,24.7517,11,0,4/9/98,13:06,25.5,36.353,0.304,0.154,,,,,,
118,-80.8317,24.7117,12,0,4/9/98,13:44,25,36.353,0.152,0.108,,,,,,
119,-80.7233,24.7617,9,0,4/9/98,15:00,25.1,36.253,0.152,0.098,,,,,,
120,-80.745,24.8017,8,0,4/9/98,15:27,25.8,36.353,0.392,0.128,,,,,,
121,-80.755,24.82,7,0,4/9/98,15:45,26.1,36.453,0.56,0.21,,,,,,
122,-80.38,25.1083,4,0,4/9/98,18:59,26.6,35.853,0.124,0.048,,,,,,
123,-80.3567,25.0933,5,0,4/9/98,19:21,26.4,36.353,,,,,,,,
124,-80.3117,25.0633,6,0,4/9/98,20:02,25.7,36.353,0.216,0.075,,,,,,
125,-80.1267,25.645,1,0,4/10/98,11:55,25.1,36.153,0.176,0.136,,,,,,
126,-80.1067,25.6433,2,0,4/10/98,12:09,25,36.153,,,,,,,,
127,-80.0833,25.645,3,0,4/10/98,12:23,24.4,36.353,0.376,0.206,,,,,,
128,-80.1261,25.6442,1,0,6/8/98,13:18,28.965,35.695,0.33,,,0.04,0.168,,,2.089
129,-80.1045,25.6421,2,0,6/8/98,13:38,28.615,35.634,0.31,,,0.006,0.109,,,0.613
130,-80.0827,25.6447,3,0,6/8/98,13:57,28.895,35.446,0.32,,,0.02,0.17,,,0.386
131,-80.3132,25.0653,6,0,6/8/98,19:10,29.595,35.716,0.19,,,0.004,0.046,,,0.321
132,-80.3544,25.0934,5,0,6/8/98,19:47,31.295,35.816,0.26,,,0.02,0.349,,,2.024
133,-80.3795,25.1081,4,0,6/8/98,20:07,32.795,36.616,0.19,,,0.026,0.078,,,6.684
134,-80.7532,24.8208,7,0,6/9/98,12:15,31.13,36.716,0.14,,,0.026,0.048,,,3.31
135,-80.7457,24.8006,8,0,6/9/98,12:43,30.555,36.232,0.17,,,,0.407,,,0.321
136,-80.722,24.7627,9,0,6/9/98,13:13,29.716,35.676,0.19,,,0.004,0.407,,,0.803
137,-80.8307,24.7135,12,0,6/9/98,14:13,29.411,35.516,0.11,,,0.08,0.117,,,0.321
138,-80.8469,24.7527,11,0,6/9/98,14:43,30.737,36.216,0.15,,,,0.006,,,5.366
139,-80.8597,24.7884,10,0,6/9/98,15:06,31.953,36.046,0.23,,,0.004,0.242,,,0.45
140,-81.0291,24.7016,13,0,6/9/98,16:32,31.071,36.247,0.19,,,0.074,0.08,,,2.185
141,-81.0233,24.6746,14,0,6/9/98,16:57,30.206,35.791,0.16,,,0.004,0.408,,,0.482
142,-81.0155,24.6425,15,0,6/9/98,17:20,29.567,35.416,0.3,,,0.004,0.457,,,0.9
143,-81.205,24.6751,16,0,6/9/98,18:47,32.581,36.516,0.17,,,0.049,0.529,,,2.314
144,-81.1925,24.6344,17,0,6/9/98,19:13,30.995,36.136,0.2,,,0.004,0.427,,,4.563
145,-81.183,24.5979,18,0,6/9/98,19:48,30.087,35.416,0.35,,,0.006,0.396,,,0.996
146,-81.4123,24.5386,21,0,6/9/98,22:04,29.673,34.816,0.12,,,0,0.194,,,0.901
147,-81.4184,24.575,20,0,6/9/98,22:50,31.218,36.116,0.22,,,0,0.365,,,1.58
148,-81.421,24.6113,19,0,6/9/98,23:23,32.036,37.016,0.23,,,0,0.606,,,0.963
149,-81.8265,24.4557,22,0,6/10/98,14:14,29.621,35.116,0.52,,,,,,,
150,-81.828,24.4866,23,0,6/10/98,14:35,29.945,35.416,0.59,,,0,0,,,0.901
151,-81.8286,24.5366,24,0,6/10/98,15:03,29.945,35.431,1.9,,,,,,,
205,-80.1267,25.645,1,0,7/29/98,13:30,30.772,34.777,0.212,0.146,,,,,,
206,-80.1067,25.6417,2,0,7/29/98,13:53,30.291,34.523,,,,,,,,
207,-80.0817,25.645,3,0,7/29/98,14:15,29.922,34.264,0.16,0.111,,,,,,
208,-80.3133,25.065,6,0,7/29/98,19:22,30.544,34.329,0.256,0.056,,,,,,
209,-80.3567,25.0933,5,0,7/29/98,20:02,31.307,34.307,,,,,,,,
210,-80.38,25.11,4,0,7/29/98,20:22,31.624,34.823,0.239,0.066,,,,,,
211,-80.755,24.8217,7,0,7/30/98,13:12,30.527,34.743,0.221,0.166,,,,,,
212,-80.745,24.8,8,0,7/30/98,13:36,30.44,34.296,0.227,0.064,,,,,,
213,-80.72,24.7633,9,0,7/30/98,14:15,30.179,34.325,0.363,0.06,,,,,,
214,-80.8333,24.7133,12,0,7/30/98,15:12,30.424,34.344,0.282,0.025,,,,,,
215,-80.845,24.7533,11,0,7/30/98,16:03,30.761,34.418,0.233,0.018,,,,,,
216,-80.86,24.79,10,0,7/30/98,16:33,31.038,35.319,0.156,0.039,,,,,,
217,-81.0317,24.7,13,0,7/30/98,18:21,31.301,34.544,,,,,,,,
218,-81.0217,24.6733,14,0,7/30/98,18:42,31.158,34.45,,,,,,,,
219,-81.0133,24.6417,15,0,7/30/98,19:34,30.812,34.406,,,,,,,,
220,-81.1833,24.5983,18,0,7/30/98,20:49,30.613,34.411,0.258,0.045,,,,,,
221,-81.1917,24.6367,17,0,7/30/98,21:35,31.112,34.485,,,,,,,,
222,-81.205,24.6733,16,0,7/30/98,22:02,31.472,34.66,0.21,0.024,,,,,,
223,-81.4133,24.5367,21,0,7/31/98,13:32,30.363,34.388,,,,,,,,
