"ModName","Adj.Rsq","AIC","dAIC","BIC","dBIC","Adj.Rsq.TrainTest","seTT","Response","S_ref","N_ref","N","ndays"
"simple",0.194705765506317,9708.16829757131,-583.146522611443,9741.4749591023,-487.757617530264,0.194729971812648,0.00481030443123365,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"weightedEndmember",0.243839763689829,9655.94815377562,-530.926378815755,9698.77100431547,-445.05366274343,0.237701789658742,0.00536429567499196,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"cyclicalTime",0.378757933566968,9490.68666071972,-365.664885759856,9552.54188927728,-298.824547705242,0.368374120408421,0.00491703943717107,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"environmental",0.561082927169331,9196.48072058378,-71.4589456239173,9282.12642166348,-28.4090800914419,0.534993598960148,0.00517116337583907,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"modMetabolism",0.594670784710171,9134.76497896135,-9.74320400148099,9253.71734157204,0,0.564420606265802,0.00576183258939512,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"year",0.594692709877992,9135.68911545193,-10.6673404920693,9259.39957256706,-5.68223099501665,0.558669248294574,0.00566155409225444,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"SRnoYear",0.600583196278417,9125.02177495987,0,9258.24842108384,-4.53107951180209,0.569305487785351,0.00494738172682874,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"subregion",0.600579558359834,9125.99662345231,-0.974848492449382,9263.98136408072,-10.2640225086798,0.572783178641661,0.00459000946033835,"DIC_umol_kg","DICoce_mean","DICrefN",861,1
"simple",0.188336723113899,9714.95112744977,-594.933225208424,9748.25778898076,-502.075891167935,0.180609823013228,0.00462444774284694,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"weightedEndmember",0.248665188902841,9650.43608883656,-530.418186595218,9693.25893937641,-447.077041563583,0.223044065190379,0.00513872160459199,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"cyclicalTime",0.387558216358789,9478.40284585865,-358.38494361731,9540.25807441621,-294.076176603387,0.373059827979784,0.00468380360451599,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"environmental",0.561621921150818,9195.42275536977,-75.4048531284243,9281.06845644947,-34.8865586366392,0.549921055390796,0.00512232146549029,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"modMetabolism",0.598202734408957,9127.22953520213,-7.21163296079067,9246.18189781283,0,0.559890061205265,0.0060825488326815,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"year",0.598160589376296,9128.2905530394,-8.27265079805329,9252.00101015452,-5.81911234169092,0.566970384539697,0.00579135895386197,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"SRnoYear",0.602897754189836,9120.01790224134,0,9253.24454836532,-7.06265055249241,0.583053801815232,0.00470553060230254,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"subregion",0.602777790463725,9121.24497566551,-1.22707342416834,9259.22971629392,-13.0478184810891,0.572587738962928,0.00597284704893253,"DIC_umol_kg","DICoce_mean","DICrefN",861,2
"simple",0.191843698716913,9711.22292123127,-617.936915494744,9744.52958276226,-527.338366699214,0.188743248085033,0.00432509356414483,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"weightedEndmember",0.257313679442905,9640.46777798307,-547.181772246546,9683.29062852292,-466.099412459871,0.248109167847142,0.00544301932853328,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"cyclicalTime",0.396564906644018,9465.64678095298,-372.360775216453,9527.50200951054,-310.31079344749,0.379074706940353,0.00512924481881399,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"environmental",0.566831719123549,9185.12912168534,-91.8431159488118,9270.77482276504,-53.5836067019864,0.551312968488154,0.00483848738397646,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"modMetabolism",0.611506396851172,9098.23885345236,-4.95284771583101,9217.19121606305,0,0.566417703929964,0.00567775021390357,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"year",0.611553555729067,9099.10504229194,-5.81903655541828,9222.81549940706,-5.62428334401557,0.579436971540199,0.0050260629905683,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"SRnoYear",0.615037358388206,9093.28600573653,0,9226.5126518605,-9.32143579745207,0.580850634019587,0.0053247270753329,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"subregion",0.614988312880236,9094.36269945889,-1.07669372236705,9232.3474400873,-15.1562240242474,0.59301478163901,0.00546317827866774,"DIC_umol_kg","DICoce_mean","DICrefN",861,3
"simple",0.198393048217815,9704.21689593705,-639.976621712673,9737.52355746805,-549.972355542905,0.188244889413072,0.00454498145285703,"DIC_umol_kg","DICoce_mean","DICrefN",861,4
