"project_code","sample_num","bottle_name","collected_date","collected_time","collected_site","collected_temp","collected_salinity","corrected_ph","calc_avg_dic_kg_corrected","calc_avg_ta_kg_corrected","calc_salinity","deployment_id","bottle_id","collection_id","spec_ph_id","calibration_dic_id","dic_id","calibration_ta_id","ta_id","density_id"
"HKH-South Florida Bay_Sept 2024","9945","1N-9945","2024-09-07",,"314","30.24","33.57","7.936609913312702","2265.001113103341164663","2552.451637605416725384","32.10704380204752","1026","22681","20809","7098","1395","27139","1681","18095","14016"
"HKH-South Florida Bay_Sept 2024","9946","2N-9946","2024-09-07",,"618","31.166","29.35","8.052482153943812","2415.943816680368740881","2794.641441786699855769","28.194597009829128","1026","22682","20810","7099","1395","27140","1678","18072","14017"
"HKH-South Florida Bay_Sept 2024","9947","3N-9947","2024-09-07",,"402","31.2","27.97","7.990159549832685","2323.247665266538672289","2625.001725219235052022","26.489135413458744","1026","22683","20811","7100","1395","27141","1678","18073","14018"
"HKH-South Florida Bay_Sept 2024","9948","4N-9948","2024-09-08",,"280","30.438","37.67","8.110403966472921","1920.937835629327067908","2365.121539652953563442","35.815237601425935","1026","22684","20812","7101","1395","27142","1678","18074","14019"
"HKH-South Florida Bay_Sept 2024","9949","5N-9949","2024-09-08",,"279","30.179","37.46","8.06687011295501","1969.756210314630795138","2400.629001383277237049","35.63135642441603","1026","22685","20813","7102","1395","27143","1678","18075","14020"
"HKH-South Florida Bay_Sept 2024","9950","6N-9950","2024-09-08",,"266","30.385","36.43","8.045937358706333","1969.711847520366882805","2357.104564524936555539","34.754606418717394","1026","22686","20814","7103","1396","27144","1678","18076","14021"
"HKH-South Florida Bay_Sept 2024","9951","7N-9951","2024-09-08",,"265","30.237","36.96","8.216655768501015","1716.059569651848636738","2198.510016368439288345","35.12022745903112","1026","22687","20815","7104","1396","27145","1678","18077","14022"
"HKH-South Florida Bay_Sept 2024","9952","8N-9952","2024-09-08",,"241","30.449","39.13","8.004773059531784","2041.852046923149650144","2422.70473144782425163","37.25395247299867","1026","22688","20816","7105","1396","27146","1678","18078","14023"
"HKH-South Florida Bay_Sept 2024","9953","9N-9953","2024-09-08",,"269","30.675","37.98","8.037689117865682","1963.242325005920840344","2348.631973400092173126","36.130986042069416","1026","22689","20817","7106","1396","27147","1678","18079","14024"
"HKH-South Florida Bay_Sept 2024","9954","10N-9954","2024-09-08",,"270","30.63","37.64","8.054678688484275","1939.862125312426062033","2335.253287387494631189","35.87454607451749","1026","22690","20818","7107","1396","27148","1678","18080","14025"
"HKH-South Florida Bay_Sept 2024","9955","11N-9955","2024-09-08",,"256","30.333","37.83","7.958285155762623","2041.018760214759002338","2365.677942813420541279","35.97246364431354","1026","22691","20819","7108","1396","27149","1679","18081","14026"
"HKH-South Florida Bay_Sept 2024","9956","12N-9956","2024-09-08",,"268","30.239","37.58","7.882156085606493","2171.888761485779154993","2465.70834181963779725","35.80964952121748","1026","22692","20820","7109","1396","27150","1679","18082","14027"
"HKH-South Florida Bay_Sept 2024","9957","13N-9957","2024-09-08",,"282","30.585","36.69","8.03044653852674","2115.894230132933826142","2475.625352242703831338","34.91422783108063","1026","22693","20821","7110","1396","27151","1679","18083","14028"
"HKH-South Florida Bay_Sept 2024","9958","14N-9958","2024-09-08",,"281","30.417","36.07","7.968644661530212","2180.29200772594267299","2514.067751136761609273","34.38753220657623","1026","22694","20822","7111","1397","27152","1679","18084","14029"
"HKH-South Florida Bay_Sept 2024","9959","15N-9959","2024-09-08",,"301","30.898","33.09","7.996238095578812","2283.060302154405811357","2653.660279237536642487","31.60340115724228","1026","22695","20823","7112","1397","27153","1679","18085","14030"
"HKH-South Florida Bay_Sept 2024","9960","16N-9960","2024-09-08",,"283","31.084","37.73","8.046474012253293","2025.882248978468274383","2398.646213188257258488","35.88171323342363","1026","22696","20824","7113","1397","27154","1679","18086","14031"
"HKH-South Florida Bay_Sept 2024","9961","17N-9961","2024-09-08",,"284","31.187","37.43","8.099792664756295","1975.583140921347230824","2384.670282133743938358","35.691625772727804","1026","22697","20825","7114","1397","27155","1679","18087","14033"
"HKH-South Florida Bay_Sept 2024","9962","18N-9962","2024-09-08",,"258","31.667","35.91","8.053348551157146","1942.849539203803089283","2335.291712793746916005","34.28047570142817","1026","22698","20826","7115","1397","27156","1679","18088","14032"
"HKH-South Florida Bay_Sept 2024","9963","19N-9963","2024-09-08",,"243","32.271","35.66","8.115849286653862","1902.504664967543970996","2335.033121008031461276","34.05234998859548","1026","22699","20827","7116","1397","27157","1679","18089","14034"
"HKH-South Florida Bay_Sept 2024","9964","20N-9964","2024-09-08",,"168","32.916","40.35","8.296976532578066","1626.528050493531298831","2183.062767209175424981","38.530085260307935","1026","22700","20828","7117","1397","27158","1679","18090","14035"
"HKH-South Florida Bay_Sept 2024","9965","21N-9965","2024-09-08",,"146","33.09","39.86","8.354539053315259","1660.265678470627284955","2260.8666629018437161","38.258288728684306","1026","22701","20829","7118","1397","27159","1679","18091","14036"
"HKH-South Florida Bay_Sept 2024","9966","22N-9966","2024-09-08",,"70","32.92","38.03","8.099586819931963","1895.441172525733721623","2303.395662396131165829","36.15945919042246","1026","22702","20830","7119","1398","27160","1680","18092","14037"
"HKH-South Florida Bay_Sept 2024","9967","23N-9967","2024-09-09",,"22","30.273","39.56","7.872478398936424","1863.982714915049431227","2098.649795197619022259","37.66273059191204","1026","22703","20831","7120","1398","27161","1680","18093","14038"
